"no";"title";"descr";"year";"imgLink";"genre"
1367;"록키 2";"아폴로와의 혈투가 끝난 후, 록키는 복싱을 은퇴하지만 애드리언의 결혼하며 명성과 행복을 얻는다. 하지만 자존심을 회복하기 위해 록키를 자극하여 리턴 매치를 열려는 아폴로 크리드. 궁핍함에서 빠져나오지 못하던 록키는 가족을 부양하겠단 심정으로 다시 복싱을 통해 재기하려 하지만 여의치 않다. 그러던 중 , 복싱으로 돌아가는 걸 반대하던 애드리언이 난산으로 사경을 헤매던 중 이겨달라는 말 한마디에 록키는 분연히 일어선다. 결전의 날이 오고, 처절한 사투의 마지막 순간 챔피언과 도전자 모두 쓰러지는데...";"1979-06-15";"https://image.tmdb.org/t/p/original/f1EbiHcLxHgGbDPpwzk1f4xkiHo.jpg";"[18]"
1368;"람보";"월남전에서 제대한 그린베레 출신의 존 람보(John Rambo: 실베스타 스탤론 분)는, 전우를 찾아 록키 산맥의 어느 한적한 시골 마을에 도착한다. 하지만 그가 찾고자 하는 이는 이미 암으로 세상을 떠난 뒤였다. 마을 보안관 셔리프 윌 티즐(Sheriff Will Teasle: 브라이언 데니히 분)는 그의 부랑자 행색에 반감을 갖고 마을에서 쫓아내려한다. 하지만 람보가 순순히 응하지 않자 억지 죄목으로 체포하는데, 조사를 하는 과정에서 그 옛날 월맹 포로 수용소에서 받은 고문 기억이 악몽처럼 되살아나자, 람보는 갑자기 미친 사람처럼 광폭해져 경찰관과 경찰서를 때려 부수고 탈출한다.  경찰의 추적을 따돌리고 마을 산 속으로 숨어든 람보는 월남전에서 몸에 익힌 게릴라 전술로 경찰과 대치한다. 그러다 경찰 헬기를 피하고자 절벽에서 뛰어내려 결국 큰 부상을 입는다. 이때 저격의 위험 때문에 그가 던진 돌이 헬기 유리창을 맞추고 이틈에 경찰관 하트가 헬기에서 떨어져 죽는다. 위험에서 벗어난 람보는 피가 흐르는 팔을 바늘로 꿰맨다. 동료마저 잃은 경찰은 람보를 잡는데 혈안이 되어 사냥개를 이끌고 숲으로 추적해 오지만 결국 람보의 교묘한 전술로 모두 부상을 입고 물러난다. 사태가 커지자 지방 경찰 기동대와 주경비대대의 지원을 받아 주변의 모든 길이 통제되고, 이 일은 신문과 방송 등 메스컴의 집중을 받는데...";"1982-10-22";"https://image.tmdb.org/t/p/original/ljcXBx9N9kQxMskkCjEpypAUkGd.jpg";"[28,12,53,10752]"
1369;"람보 2";"복역 중인 람보(John Rambo: 실베스타 스탤론 분)는 트로트먼(Trautman: 리차드 크레나 분) 대령에 의해 특수 임무인 냉전 지대에 잠입, 포로의 사진만을 촬영해 오는 조건으로 석방되어 위험 지구로 낙하한다. 현지 연락원인 소녀 코 바오(Co Bao: 줄리아 닉슨 분)를 만나고 악명높은 해적 드론의 협조로 목적지에 당도한다. 포로 수용소에 잠입, 옛동료 반크스(Banks: 앤디 우드 분)를 만남 람보는 임무 내용과 달리 동료를 구출해 계획된 구출 장소로 가나 반크스와 동행임을 안 본부는 작전 중지 명령을 내린다. 고립된 람보와 반크스는 게릴라 부대의 포도스프키(Podovsky: 스티븐 버코프 분) 일행에 의해 고문과 신문을 당한다. 이때 코의 도움으로 수용소를 탈출, 추격전을 전개하다 코가 죽게 된다. 이에 람보의 분노와 슬픔이 폭발한다.";"1985-05-21";"https://image.tmdb.org/t/p/original/wFW4E10d554k1tzO2Mgi7POammi.jpg";"[28,12,53,10752]"
1370;"람보 3";"존 람보(John Rambo : 실베스터 스탤론 분)는 태국의 불교 사원에서 은둔 생활을 하고 있었다. 람보의 정신적 지주이자 친구인 트로트만 대령(리차드 크레나)은 그에게 찾아와 아프가니스탄에서의 은밀한 임무를 제의한다. 하지만 람보가 거절하게 되고 대령은 직접 그 곳을 향하게 된다. 대령은 그곳에서 무자비한 소련 지휘관에 의해 생포된다. 그에 따라 람보는 그의 평온한 삶을 떠나 대령을 구하러 가기로 한다. 람보는 약간의 탄약만을 들고 파키스탄에 들어와 그곳에서 만난 무자헤딘(Mujaheddin)이라는 저항군의 도움으로 아프가니스탄으로 넘어가려고 한다. 람보는 저항군 친구와 깍아지른 사막의 절벽과 동굴 등을 통과하여 아프가니스탄에 접근한다. 하지만 그들은 대령이 잡혀 있는 곳에 이르기 전에 험준한 골짜기에서 러시아 헬기에 의해 가로막히게 된다. 람보는 맨손으로 절벽을 오르고 건장한 러시아 병사와 맞붙으며 전방위로 로켓을 날린다. 아프칸 병사들은 미국이 제공했던 로켓을 들고 러시아 병사들과 싸운다. 람보는 배에 박힌 총알을 빼고 화약을 상처에 뿌려 태우는 응급조치도 보여준다.";"1988-05-24";"https://image.tmdb.org/t/p/original/wVmMXqcyFQbU052oj5ufJl9NK07.jpg";"[28,12,53,10752]"
1371;"록키 3";"세계 챔피언으로 승승장구하던 록키는 자만심과 매너리즘에 빠진다. 이를 경고하는 믹키와 충돌이 일어나고, 강력하고 거친 흑인 복서 클러버 랭과의 타이틀전을 앞두고 록키의 마음은 어지럽기만 하다. 마침내 무너지고 마는 록키. 그가 타이틀을 잃던 날 믹키마저 세상을 떠난다. 모든 것을 잃고 쓰러지려는 록키에게 의외로 아폴로가 나타난다. 그는 랭이 지저분한 언동으로 흑인들의 얼굴에 먹칠을 하고 있다며, 록키의 재도전을 위한 트레이너로 자청하고 나선다. 애드리언의 격려와 아폴로의 지도로 록키는 다시 맹훈련에 돌입하는데...";"1982-05-28";"https://image.tmdb.org/t/p/original/lklrplDDuALhY3k8IDFdRqtpZPk.jpg";"[18]"
1372;"블러드 다이아몬드";"밀수를 일삼는 용병 대니 아처(레오나르도 디카프리오)는 다이아몬드 광산에서 강제노역을 하던 솔로몬(디몬 하운수)이 유래 없이 크고 희귀한 다이아몬드를 발견해 숨기고 있다는 사실을 알게 된다. 아처는 그 다이아몬드가 아프리카에서 벗어날 기회임을 알고 그에게 접근하지만, 이 다이아몬드는 소년병으로 끌려간 솔로몬의 아들을 구하기 위한 것. 매디 보웬(제니퍼 코넬리)은 다이아몬드 산업의 부패를 폭로하고 숨겨진 진실을 밝히려고 하는 이상주의적 기자. 매디는 정보를 얻기 위해 아처를 찾지만 이내 그가 자신을 더 필요로 한다는 것을 알게 된다. 아처는 매디의 도움으로 솔로몬과 함께 반란 세력의 영토를 통과하기로 결정한다.";"2006-01-26";"https://image.tmdb.org/t/p/original/fXtepLzGBJGZwUoGpks24JN0gp.jpg";"[18,53,28]"
1374;"록키 4";"록키는 친구 아폴로 크리드와 러시아 출신 복서 이반 드라고의 경기를 참관한다. 드라고는 소련이 정책적으로 키운 복서이며 첨단의 인체공학을 응용한 초현대식 훈련장비를 사용하여 강력한 파워와 테크닉을 갖춘 강철같은 사나이였다. 그는 록키에게 공공연히 도전하면서, 미국의 자존심을 건드린다. 록키를 대신해 크리드가 나서지만, 드라고의 적수가 되지 못한 크리드는 드라고에 의해 경기 도중 사망하게 되고, 록키는 크리드의 매니저에게 도움을 받아 크리드의 원한을 갚고 드라고와 맞서기 위해 소련으로 가는데...";"1985-11-21";"https://image.tmdb.org/t/p/original/jmvpwgW5M2kduR9zB0q8qGFC4zM.jpg";"[18]"
1375;"록키 5";"모스크바에서 소련 선수 드라고를 이기고 돌아온 록키는 몸에 이상이 생긴 것을 알게되고 곧 은퇴하려고 한다. 그런데 자신이 집을 비운 사이 회계사가 자신의 전재산을 가로챘음을 알아챈다. 할 수 없이 교활한 권투 흥행주 듀크가 주선한 캐인과의 시합을 치르려고 하는 록키. 그러나 의사로부터 뇌에 이상이 생긴 것으로 진단을 받고 출전 자격을 박탈당한다. 무일푼 신세로 슬럼 가의 옛집으로 돌아와 허름한 권투 도장에서 트레이너 일을 하는 록키에게 듀크가 출전자격증을 꾸며 주겠다며 유혹하지만 아내 애드리안이 급구 만류한다.";"1990-11-16";"https://image.tmdb.org/t/p/original/qCARerjCFZOEeLiVdomhwRYlDSn.jpg";"[18]"
1378;"숏버스";"한 번도 오르가즘을 느껴본 적 없는 섹스 테라피스트 소피아. 그녀는 성적으로 좀더 개방된 관계를 시도해 보려는 게이 커플 제이미와 제임스를 상담하던 중 ‘숏버스’라는 언더그라운드 살롱을 소개받는다. 비밀스런 모임이 이루어지는 이곳의 수많은 사람들은 예술, 음악, 정치 그리고 관계에 대해 서로 나누고 소통한다. 제이미와 제임스 사이에 새롭게 등장하게 된 모델 세스, 진정한 관계를 찾아 방황하는 세브린, 놀랍도록 솔직하고 과감한 경험을 하게 되는 소피아 등 숏버스를 찾는 외로운 영혼들은 서서히 해답과 희망을 찾아가게 되는데….";"2006-10-04";"https://image.tmdb.org/t/p/original/s8QBrWgpZpYrySSyTQ0xbFLPKrS.jpg";"[10749,18,35]"
1381;"천년을 흐르는 사랑";"16세기 스페인, 충실한 기사 토마스(휴 잭맨)는 적으로부터 아름다운 여왕 이자벨(레이첼 와이즈)을 구하기 위해 온 힘을 다해 싸운다. 여왕은 토마스에게 영생의 나무를 찾으라는 명령을 내리고, 토마스는 신비의 나무를 찾아 목숨을 건 여정을 시작한다.  21세기 어느 연구실, 의사 토미(휴 잭맨)는 첫눈이 내린다며 자신을 찾아온 아내, 이지(레이첼 와이즈)를 매몰차게 돌려보내면서 암 치료를 위한 신약 개발에만 몰두한다. 토미가 연구에 매진하는 이유는 바로 이지가 언제 생을 마감할지 모르는 암환자이기 때문.  26세기 우주의 어느곳, 톰(휴 잭맨)은 천년동안 자신을 괴롭히던 미스테리의 정체를 찾기 위해 생명의 나무와 함께 우주여행을 하고 있다. 사랑하는 사람과 다시 만나기 위해 삶과 죽음, 영생에 대한 진실을 찾아가는 여행을 하는 톰의 여정은 끝이 보이지 않는다.  3가지 시대, 3가지 사랑… 그러나 사랑과 불멸의 생명에 대한 단 한가지 이야기!";"2006-11-22";"https://image.tmdb.org/t/p/original/pnfLj4otqJGVJqExnFXCkuvpNTG.jpg";"[18,12,878,10749]"
1389;"표적";"은행강도 잭 폴리(조지 클루니). 가장 많은 은행을 턴 기록을 가진 그는 롬폭 교도소에서 떠벌이 글렌에게 리차드(앨버트 브룩스)라는 재소자의 집에 다이아몬드 원석이 있다는 얘기를 듣고, 리차드에게 관심을 갖는다.  리차드는 자신의 회사에 잭에게 좋은 일자리가 있다며 찾아오라고 한다. 출감한 잭에게 리차드가 제공한 일자리는 은행경비다. 화가 난 잭은 은행을 털다가 붙잡혀 교도소로 가게 된다. 옛 교도소 친구 버디(빙 라메스)의 도움으로 탈옥에 성공하는데, 그 과정에서 캐런 시스코(제니퍼 로페즈)라는 여자 연방보안관을 인질로 잡는다. 탈출에 가까스로 성공한 캐런은 잭과 버디의 뒤를 쫓으며 잭에게 사랑을 느끼는데...";"1998-06-26";"https://image.tmdb.org/t/p/original/7J9LtfRLuVnH14WpFGgTxC4Oo0c.jpg";"[10749,35,80]"
1391;"이투마마";"훌리오와 테노치는 그야말로 혈기왕성한 소년들이다. 여자친구와 격렬하게 섹스를 나누는 이들은 늘 성적인 공상에 사로잡혀 있다. 여자친구에게 정절을 약속한 그들이지만, 이를 지키기란 쉬운 일이 아니다. 루이자는 남편 하노가 다른 여자와 잠자리를 가졌다는 얘기를 들은 뒤 여행에 동참해 소년들을 유혹한다. 훌리오와 테노치가 모두 루이자와 섹스를 한 뒤, 이들은 마음 속에 감춰뒀던 비밀을 털어놓는다. 그들이 각각 서로의 여자친구와 성관계를 가졌다는 사실이 드러나자 우정에는 금이 가기 시작한다.";"2001-06-08";"https://image.tmdb.org/t/p/original/3QrDrNg0JPXjU03pgVCSa7GLaTy.jpg";"[18,10749]"
1398;"잠입자";"잿빛의 이름없는 이 도시는 ""구역""이라는 곳으로 철조망으로 둘러싸여 군인들이 지키고 있는 외계의 공간이라 알려져 있다. 아내의 만류에도 불구하고 ""스토커""라는 이름의 한 사내가 칠흑 같은 어둠 속을 걸어나온다. 그는 구역 안으로 사람들을 안내할 수 있는 정신적인 재능을 부여받은 소수의 무리 중의 하나이다. 하지만 이 일은 너무나도 위험천만한 일이기 때문에 정부에 걸릴 경우엔 감옥행도 불사해야 하는 일이다. 사람들이 이 구역 안의 공간으로 들어가고자 하는 이유는 이곳에 가는 오직 한 사람만 자신의 비밀스런 꿈을 이룰 수 있다는 설이 있기 때문이다. 그 날밤, 스토커는 두 사람을 안내해 구역 안으로 들어간다. 한 사람은 유명한 작가로 이제는 영감이 소멸돼 자신의 천재성에 대해 회의를 갖기 시작하는 사람이고, 또 다른 한 사람은 조용한 과학자로 여행보다는 배낭에 더 관심을 가지는 사람이다. 버려진 공간 ""구역""에서 그 공간을 향하는 길은 정해져 있지 않다. 그들이 점점 공간에 가까이 다가갈수록 규칙은 변하고 스토커는 커다란 위험에 직면하는데...";"1979-05-25";"https://image.tmdb.org/t/p/original/mzJxTxIODATNaYUwyJ2C2XPkhXW.jpg";"[878,18]"
1402;"행복을 찾아서";"미국 샌프란시스코. 의료기 세일즈맨 크리스 가드너(윌 스미스)는 여기저기 열심히 뛰어다니지만 한물간 의료기기는 좀처럼 팔리지 않는다. 아들 크리스토퍼(제이든 스미스)는 엉터리 유치원에서 하루종일 엄마를 기다리다 잠들기 일쑤. 세금도 못내는 형편에 자동차까지 압류당하자 참다 지친 아내마저 두사람을 떠나버린다. 살던 집에서도 쫓겨난 크리스와 크리스토퍼. 이제 지갑에 남은 전재산이라곤 달랑 21달러 33센트 뿐.  전재산 21달러…  돌아갈 집도 없지만 꿈이 있다면 지켜내야 한다!  극한 상황에서도 크리스토퍼를 보살피던 크리스는 빨간색 페라리를 모는 성공한 주식중개인을 만나 ‘남이 할 수 있다면, 나도 할 수 있다’는 희망과 함께 주식중개인 인턴에 지원한다. 덜컥 붙긴 했지만 땡전 한푼 못받는 무보수에 60대 1이라는 엄청난 경쟁을 이겨내야 하는 혹독한 과정. 학력도 경력도 내세울 것 없지만 크리스는 아들과 함께 노숙자 시설과 지하철 화장실을 전전하는 어려움 속에서도 행복을 찾기 위한 위한 마지막 기회에 도전하게 되는데…";"2006-12-14";"https://image.tmdb.org/t/p/original/lwsGRL0gVd9mEdfrwgebiEQJBhk.jpg";"[18]"
1406;"굿바이 뉴욕 굿모닝 내사랑";"일상에 지친 도시의 세 남자 미치(빌리 크리스탈), 에드(브루노 커비), 필(다니엘 스턴)은 자유를 찾기 위해 도시를 떠나 뉴멕시코에서 콜로라도까지 200 마일에 걸친 소몰이 여행을 떠난다. 미치의 실수로 소떼가 집단으로 탈출하고, 기술을 전수하던 베테랑 카우보이가 심장마비로 죽자 이들은 우왕좌왕한다.  세 사나이는 남은 여정에 불안해하지만 스스로의 힘으로 거친 황야를 헤쳐나가기 시작하는데...";"1991-06-07";"https://image.tmdb.org/t/p/original/mXaB6fZd3iCp1tVlWgXvlJxFDBl.jpg";"[35,37]"
1412;"섹스, 거짓말, 그리고 비디오테이프";"존(피터 갤러거)과 앤(앤디 맥도웰)은 겉보기엔 남부러울 것 없는 부부지만, 존은 처제와 불륜 관계에 있고, 앤은 정신과 상담을 받고 있다. 어느 날 존의 친구 그레이엄(제임스 스페이더)이 집으로 찾아온다. 앤은 스스로 성불구이며 다른 사람이 있으면 성행위를 할 수 없다는 그레이엄의 고백에 놀라는 한편 매혹당한다. 얼마 후 앤은 그레이엄의 집에 우연히 들렸다가 여자들의 이름이 쓰인 비디오 테이프를 발견한다. 테이프들은 그레이엄이 여자들의 성경험을 인터뷰하여 만든 것. 결국 앤도 존과의 관계를 비디오 테이프에 담으면서 그들의 삶은 돌이킬 수 없는 파탄의 길로 빠져드는데...";"1989-08-04";"https://image.tmdb.org/t/p/original/cVjx7si5DsRRdU2qUp90qSUUiRm.jpg";"[18]"
1417;"판의 미로: 오필리아와 세개의 열쇠";"먼 옛날 인간들은 모르던 지하 왕국, 행복과 평화로 가득 찬 환상의 세계에 공주가 있었다. 햇빛과 푸른 하늘이 그리웠던 공주는 인간 세계로의 문을 열고 만다. 하지만 너무나 눈부신 햇살에 공주는 기억을 잃은 채로 죽어갔다.  꿈 많은 소녀 오필리아는 만삭인 엄마와 함께 군인인 새아버지의 부대 저택으로 이사를 간다. 하지만 자신을 못마땅해 하는 냉혹한 새아버지에게 두려움을 느끼는 데다, 신비한 숲으로 둘러싸인 저택의 이상한 분위기에 잠을 못 이루던 오필리아에게 요정이 나타난다. 신비로운 모습에 이끌린 오필리아는 요정을 따라 미로로 들어가게 되고 거기서 판이라는 기괴한 요정을 만나는데...";"2006-08-25";"https://image.tmdb.org/t/p/original/152dNZttshE1erlIK5GPzTvbQUR.jpg";"[14,18,10752]"
1422;"디파티드";"남부 보스턴 매사추세츠 주 경찰청은 프랭크 코스텔로가 이끄는 막강한 세력을 지닌 보스턴 최대 범죄조직망을 일망타진하기 위해 신참 경찰 빌리 코스티건을 조직에 침투시킨다. 빌리가 경찰 뱃지를 반납하고 보스턴 길거리를 떠돌다 코스텔로의 신임을 얻기 위해 애쓰는 동안 또 다른 신참 콜린 설리반은 경찰청 내에서 승승장구하여 특별 수사반에 배치된다. 특별 수사반의 임무 역시 코스텔러를 제거하는 것. 그러나 사실 콜린은 경찰청에 투입된 코스텔로의 첩자. 경찰청의 동태를 사전에 코스텔로에게 알리는 게 그의 진짜 임무였던 것이다.";"2006-10-05";"https://image.tmdb.org/t/p/original/jaaYn5iY0s9vwcm8oOhxKBWYW6U.jpg";"[18,53,80]"
1427;"향수: 어느 살인자의 이야기";"18세기 프랑스, 악취나는 생선 시장에서 태어나자마자 고아가 된 천재적인 후각의 소유자 장 바티스트 그르누이(벤 위쇼). 난생 처음 파리를 방문한 날, 그르누이는 지금껏 경험하지 못했던 여인의 매혹적인 향기에 끌린다. 그 향기를 소유하고 싶은 강렬한 욕망에 사로잡힌 그는 향수제조사 주세페 발디니(더스틴 호프만)를 만나 향수 제조 방법을 배워나간다. 파리를 떠나 향수의 낙원이라 불리는 프랑스 남동부의  그라스에서 본격적으로 향수를 만드는 기술을 배우는 그르누이. 한편 그라스에서는 아름다운 여인들이 머리카락을 모두 잘린 채 나체의 시신으로 발견되는 의문의 살인 사건들이 연이어 발생하는데...";"2006-09-13";"https://image.tmdb.org/t/p/original/zHwYCk0YVFdTH0icIHsXGCV6Min.jpg";"[80,14,18]"
1428;"원스 어폰 어 타임 인 멕시코";"악몽과 비극적 상처를 가슴에 안고 유령처럼 숨어서 사는 엘 마리아치. 부패하고 타락한 CIA 요원 샌즈는 멕시코 대통령을 암살하고 쿠데타를 일으키려는 음모를 저지하기 위하여 엘 마리아치를 끌어들인다. 그러나 그가 샌즈의 요청에 응한 건 대통령을 구하려는 정치적인 목적 때문만은 아니다. 암살 음모를 주도하는 마약 무기 밀매 조직의 두목 바리요의 행동대장 격으로 고용된 마르케즈 장군과의 끝없는 악연이 그로 하여금 다시 총을 잡게 한 것. 한편 멕시코의 특수요원 아헤드레즈는 샌즈를 비롯한 외부 세력들이 멕시코 안에서 벌이고 있는 첩보 활동에 협력자로 가세하는데.....";"2003-09-11";"https://image.tmdb.org/t/p/original/AfyP7xgsrjGb0LTzbc60O5JnOCD.jpg";"[28,18,9648]"
1429;"25시";"고등학교때부터 대마초를 팔던 몬티. 소방수였던 아버지처럼 되고 싶었지만, 첫 단추를 잘 못 끼운 몬티에게는 현재 마약 밀매범이라는 불명예스러운 딱지만 남아 있다. 집안에 숨긴 마약이 발각되어 검거된 몬티는 보석으로 풀어준 아버지 덕분에 일주일간의 자유를 가지게 된다. 7년의 수감생활에 대한 두려움, 그 후에 전과자로서 살아가야 할 길이 지금부터 걱정인 그에게 세상은 절망뿐이다. 게다가 자신의 범행 사실을 경찰에 알린 사람이 연인이자 동거하고 있는 내추럴일 것이라는 소문에도 시달리는 몬티.  시간은 점점 그를 죄어오고 몬티는 수감전날 절친한 친구 제이콥과 프랭크, 내추럴과 이별파티를 열고, 사회에서의 마지막 밤을 지낸다.  다가오는 시간을 애써 무시하려는 몬티에게 주변의 모든 것은 그에게 앞으로 펼쳐질 삭막하고 가망 없는 미래에 대한 불안과 분노를 가중시키고, 이것을 눈치챈 몬티의 아버지는 충격적인 제안을 하는데…";"2002-12-19";"https://image.tmdb.org/t/p/original/gVDzcTxZ5RjWgusVSJOj8CeN9HC.jpg";"[80,18]"
1433;"악마의 등뼈";"1936년 프랑코 장군의 쿠데타로 인한 내전이 벌어지고 있는 스페인. 공화주의자를 부모로 둔 10살의 카를로스는 산타루치아의 고아원으로 가차없이 보내진다. 스무살이 되어서 다시 찾아 온 카를로스, 어릴 때 고아원 친구였으나 지금은 관리인이 된 자킨토의 적의어린 시선을 마주하게 된다. 하지만 더 끔찍한 것은 어린 시절 참혹하게 살해된 친구 산티의 유령과 만나 것이다. 산티는 자신을 고통에서 구원해 줄 것을 부탁하며, 임박한 재앙을 경고해준다. 유년 시절에 누구나 가졌던 무서운 기억들이 커서도 반복된다는 호러 드라마. 감독 기옐모 델 토로는 와 으로 국내에 소개되었으며, 최근작으로는 가 있다.";"2001-04-20";"https://image.tmdb.org/t/p/original/jdvZ3aAopxGJ7aIRpU9SgTukgzh.jpg";"[14,18,27,53]"
1439;"애나 앤드 킹";"태국과 버마의 접경에 위치한 사이암 왕국의 뭉쿳 국왕(King Mongkut : 주윤발 분)은 세계 열강들의 제국주의 야욕 속에서 국가의 독립권을 지키려면 제도와 교육을 근대화 하는 것임을 최선으로 생각하고, 자신의 자녀들을 근대화된 서구 교육을 시킬 목적으로 영국의 미망인 애나 레노웬스(Anna: 조디 포스터 분)를 가정교사로 초청한다. 아들을 데리고 사이암 왕국에 도착한 애나는 50명이 넘는 이나라 국왕의 자녀들을 가르치면서 고집센 뭉쿳 국왕과 사사 건건 의견 충돌을 일으킨다. 시간이 지나면서 통치자인 국왕의 고뇌와 인간에 대한 연민을 느껴 그를 동정하게 된 애나는 후궁으로 간택되어온 팁팀(Tuptim: 링 베이 분)이 옛 애인을 잊지 못해 도망치다 붙잡혀 사형 당하는 사건이 발생하자 뭉쿳 국왕의 냉혹하고 이기적인 모습에 실망을 느껴 사이암을 떠나기로 결심한다. 당시 제국주의가 팽배하던 이 지역은 영국과 프랑스의 각축장으로 끊임없이 전쟁이 일어나던 지역으로 사이암 왕국의 알락 장군(General Alak: 랜달 덕 킴 분)은 영국을 경계할 것을 강조하나, 국왕은 오히려 프랑스를 경계해야 한다며 이를 거부한다. 알락은 결국 뭉쿳 왕을 폐지하고 새 왕조를 일으키겠다는 야심으로 궁궐로 진격해 온다. 왕권과 가족을 보호해야 하는 뭉쿳은 애나의 도움으로 가족을 피신시키고 알락을 생포하는데 성공한다. 평화를 되찾자 애나는 뭉쿳 국왕에게 영국으로 떠나겠노라고 말하는데.  부왕 못쿳의 통찰력과 애나의 가르침에 힘입어 출라롱콘 국왕(King Chulalongkorn)은 샴의 독립을 지켰고, 노예제를 폐지하고 종교의 자유를 확립했다.";"1999-12-16";"https://image.tmdb.org/t/p/original/PIlOkljucv7HnvATbn4JwrAvSn.jpg";"[18,10749,36]"
1440;"리틀 칠드런";"우연히 아이를 데리고 나간 놀이터에서 그를 만났다. 변호사 시험을 준비하며 아이를 돌본다는 브래드. 그의 매력적인 웃음에 살짝 마음이 떨렸다. 수영장을 다닌다는 그의 말에 발간 수영복을 주문했다. 그리고 그와 입을 맞춘 순간, 무료했던 내 삶이 달라지기 시작했다. 우연히 아이를 데리고 나간 놀이터에서 그녀를 만났다. 내 전화번호를 두고 내기를 했다는 사라. 아름답고 잘 나가는 아내에 비하면 별 볼일 없는 그냥 아줌마지만, 그녀에겐 뭔가 색다른 매력이 있다. 그리고 그녀와 입을 맞춘 순간, 답답했던 내 삶이 달라지기 시작했다.";"2006-10-06";"https://image.tmdb.org/t/p/original/so9xla7b7WfFiarDwOukhQpRuyd.jpg";"[18,10749,35]"
1443;"처녀 자살 소동";"1970년대 미국의 조용하고 보수적인 한 마을. 좀처럼 이웃 사람들과 어울리지 않는 리스본 가족의 아름다운 다섯 자매 중 한 명인 열세살 세실리아가 자살을 기도한다. 이 사건으로 비밀에 가득찬 리스본 일가의 실체가 나타나기 시작한다.";"1999-12-31";"https://image.tmdb.org/t/p/original/wDrTeDUuWf7SRQnkVea2ZpOcwnt.jpg";"[18,10749]"
1452;"수퍼맨 리턴즈";"수명이 다 된 크립톤(Krypton) 행성의 한 과학자가 자신의 아들을 우주선에 태워 지구로 보냈다. 소년은 어느 친절한 농부 부부에 의해 성장해 지구를 지키는 위대한 수호자 슈퍼맨이 되지만... 천문학자들이 고향 행성을 발견했단 소식을 듣자 슈퍼맨은 사라지게 된다.  오래 전 사라져버린 크립톤 행성에서 태어나 캔자스의 한 농장에서 성장한 슈퍼맨. 소년 칼은 클라크 켄트라는 새 이름으로 평범하게 성장했지만 남다른 점이 있다. 보통 사람들이 상상 속에서나 해볼 수 있는 초능력의 소유자. 평소에는 얌전하고 눈에 띄지 않는 클라크 켄트로 일상을 보내다가 전 세계가 그를 필요로 할 때면 영웅으로 몰래 변신하는 이중 생활을 해야 하는 슈퍼맨이다.  세계를 구원하던 그 슈퍼맨이 갑작스레 자취를 감춘 지 5년이란 시간이 흘렀다. 그가 사라진 후 도시에서는 범죄가 기승을 부리고, 자신의 욕망을 충족시키기 위한 수단으로 슈퍼맨의 비밀을 이용하려는 렉스 루터가 감옥에서 풀려난다. 한편, 데일리 플래닛 신문사의 간판 기자이자 슈퍼맨의 연인인 로이스 레인은 슈퍼맨이 말 없이 사라진 후 새로운 인생을 살고 있다. 심지어 '우리는 왜 더 이상 슈퍼맨을 필요로 하지 않는가?'란 제목의 에세이로 퓰리처상까지 수상했다. 그리고 혼자 다섯 살의 아들을 키우다 편집장 조카와 약혼까지 한 상태. 그렇게 세상은 영웅을 잊어가고 있었다.  그 동안 자신의 정체성을 찾기 위해 방황하던 슈퍼맨은 결국 자신의 유일한 가족, 양부모님이 있는 곳이자 사랑하는 로이스가 있는 곳, 완벽하지는 않지만 선한 사람들이 있는 지구가 자신이 진정 있어야 할 곳이라는 것을 깨닫고 지구로 돌아온다. 떠나간 사랑의 마음도 되찾아야 하고, 자신의 부재를 틈 타 기승을 부리던 악당들도 소탕해야 하는 슈퍼맨. 슈퍼맨이 돌아오자마자 렉스의 사악한 계획이 실행되려고 하는 지금, 인류는 그 어느 때보다 더 절실하게 슈퍼맨을 필요로 하고 있다.";"2006-06-28";"https://image.tmdb.org/t/p/original/2mOfj4saHxkpdMapd3pUakuewnp.jpg";"[878,28,12]"
1487;"헬보이";"1944년, 2차세계대전에서 수세에 몰린 나치는 러시아의 흑마술사 라스푸틴을 고용, 지옥의 악마를 불러와 전세를 역전시킬 음모를 꾸민다. 라스푸틴의 염력으로 혼돈의 지옥신 자하드가 깨어나고 지옥의 문이 열리려 할 때, 미리 정보를 입수한 연합군의 공격으로 간신히 저지한다. 간발의 차이로 지옥에서 지구로 불려온 헬보이는 B.P.R.D.(Bureau of Paranormal Research & Defence)를 설립한 브룸교수에게 인도되어 텔레파시 예지력을 지닌 양서인간 아베 사피엔, 불을 자유자재로 다루는 '파이로-키네시스' 리즈와 함께 악에 맞서는 전사로 성장한다. 60년후, 어둠 저편으로 추방되었던 라스푸틴은 추종세력에 의해 부활하고, 그가 창조한 ‘죽을수록 강해지는 지옥의 사냥개’ 삼마엘과 고통에서 쾌락을 느끼는 부관 크뢰넨에 의해 온세계에 강력한 파괴와 종말의 기운이 퍼져나간다. 지옥의 문을 다시 열기위해선 헬보이의 파워가 꼭 필요한 라스푸틴은 리즈를 향한 헬보이의 사랑을 간파하고, 리즈의 목숨을 볼모로 헬보이에게 악마로서의 각성과 파괴신으로서의 재림을 강요하는데…";"2004-04-02";"https://image.tmdb.org/t/p/original/u1wD5xw0FSRzumpzvx49q75qpOr.jpg";"[14,28]"
